config,mu_multiplier,cycle_mean,cycle_low,cycle_high,queue_mean,unstable,scenario_key
Current State,0.8,134.2494561825058,121.43659765303086,147.06231471198078,127.8077174299824,True,warehouse
Current State,0.9,96.47214403932703,83.34107361610191,109.60321446255216,99.15674738273854,False,warehouse
Current State,1.0,51.39170322068257,43.00674941979139,59.776657021573754,50.797756934967936,False,warehouse
Current State,1.1,25.522360463619215,21.49394516273756,29.55077576450087,17.567522771045596,False,warehouse
Current State,1.2,19.102068141932257,16.127497620546293,22.07663866331822,5.252497915087977,False,warehouse
Zone Picking,0.8,29.338312924805734,23.78292238378691,34.89370346582456,22.7135961108687,False,warehouse
Zone Picking,0.9,20.021992169982795,16.854139023432666,23.189845316532924,4.854849533836732,False,warehouse
Zone Picking,1.0,18.679878199223655,16.242632455504847,21.117123942942463,1.833439414007729,False,warehouse
Zone Picking,1.1,21.349612703498096,15.467589178462887,27.231636228533304,1.0227797666874863,False,warehouse
Zone Picking,1.2,17.746958524865313,12.32196867222964,23.171948377500986,0.44400818083640736,False,warehouse
