config,mu_multiplier,cycle_mean,cycle_low,cycle_high,queue_mean,unstable,scenario_key
Current State,0.8,105.15881686151121,96.62767688374272,113.6899568392797,121.24138156190436,False,kyc
Current State,0.9,61.062767936245734,54.252480170738764,67.8730557017527,75.45626118355582,False,kyc
Current State,1.0,28.21001962955602,23.028807386966015,33.39123187214602,31.529483958116504,False,kyc
Current State,1.1,14.102876100554317,11.128369798574456,17.077382402534177,10.113537012050239,False,kyc
Current State,1.2,9.520935099816217,8.302509897245951,10.739360302386483,3.5175863495425994,False,kyc
ML Triage,0.8,9.746849415583505,8.275209492862638,11.218489338304371,1.6230023286956488,False,kyc
ML Triage,0.9,10.864293460173693,6.497117136306558,15.231469784040828,0.6879519777682088,False,kyc
ML Triage,1.0,8.47428336810329,7.135495169577492,9.813071566629088,0.38889595447329695,False,kyc
ML Triage,1.1,7.594739323143358,5.753954311951809,9.435524334334907,0.2392977626856209,False,kyc
ML Triage,1.2,9.147194798407757,7.2231679444308,11.071221652384713,0.12849496729769325,False,kyc
